Название;Производитель;Категория;Розничная цена;Оптовая цена;Плотность (г/м2);Мартиндейл (циклы);Свойства;Тип ткани;Ссылка на товар
FOREVER;Dedar;Премиум;17.0;;410;17000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/forever/
FR ALAYA;Dedar;Премиум;10.0;;1051;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/from-nature/
FR SPARKS;Dedar;Премиум;40.0;;1051;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/from-nature/
FREE JAZZ;Dedar;Премиум;14.0;;351;14000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/free-jazz/
FROM NATURE;Dedar;Премиум;55.0;;1051;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/from-nature/
GIARDINO DI MAGGIO;Dedar;Премиум;37.0;;831;65000;nan, Премиальное качество;Шенилл;https://dedar.com/il-giardino-in-una-stanza/
GIMEL;Dedar;Премиум;40.0;;1278;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/gimel/
GINGER;Dedar;Премиум;15.0;;588;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/ginger/
GOODFELLAS;Dedar;Премиум;80.0;;1114;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/goodfellas/
GRAND NATTE';Dedar;Премиум;20.0;;868;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/grand-natte-laminato/
GRAND NATTE' LAMINATO;Dedar;Премиум;20.0;;868;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/grand-natte-laminato/
GRENADINE;Dedar;Премиум;51.0;;1001;51000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/grenadine/
GRISAILLE;Dedar;Премиум;20.0;;830;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/grisaille/
HIBOU;Dedar;Премиум;24.0;;1182;24000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/hibou/
HIGHLIGHTS;Dedar;Премиум;20.0;;670;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/highlights/
HOLDEN;Dedar;Премиум;80.0;;951;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/holden/
HSH HOME SWEET HOME;Dedar;Премиум;50.0;;1596;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/hsh-home-sweet-home/
HUGO;Dedar;Премиум;34.0;;915;34000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/hugo/
HURLUBERLU;Dedar;Премиум;80.0;;1201;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/hurluberlu/
ICHI-GO ICHI-E;Dedar;Премиум;30.0;;1025;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/ichi-go-ichi-e/
IL GIARDINO IN UNA STANZA;Dedar;Премиум;65.0;;548;15000;nan, Премиальное качество;Шенилл;https://dedar.com/adorabile-alpaca/
IN DISCIPLINE;Dedar;Премиум;10.0;;720;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tiger-mountain/
INGRID;Dedar;Премиум;70.0;;897;70000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/ingrid/
IRIS;Dedar;Премиум;10.0;;529;10000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/iris/
JAMU JUNGLE;Dedar;Премиум;80.0;;744;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/jamu-jungle/
JASPER;Dedar;Премиум;20.0;;800;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/jasper/
KARAKORUM;Dedar;Премиум;80.0;;1140;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/karakorum/
KARANDASH;Dedar;Премиум;40.0;;865;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/karandash/
KOTAKOT;Dedar;Премиум;20.0;;1210;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/kotakot/
KYLLIKKI;Dedar;Премиум;12.0;;363;12000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/kyllikki/
LAMBERTO;Dedar;Премиум;10.0;;887;10000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lamberto/
LAND R;Dedar;Премиум;80.0;;649;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/land-r/
L'AVVENTURA;Dedar;Премиум;40.0;;370;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lavventura/
LEONTIGRE;Dedar;Премиум;80.0;;749;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/leontigre/
LIBERA;Dedar;Премиум;40.0;;710;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/liberabirinto/
LIBERABIRINTO;Dedar;Премиум;50.0;;710;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/liberabirinto/
LIBERTINO;Dedar;Премиум;40.0;;799;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/libertino/
LILAZ;Dedar;Премиум;30.0;;1151;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lilaz/
LINDON R;Dedar;Премиум;56.0;;603;56000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lindon-r/
LINEMAN R;Dedar;Премиум;64.0;;897;64000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lineman-r/
LIPSTICK;Dedar;Премиум;16.0;;695;16000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lipstick/
LONTANO LONTANO;Dedar;Премиум;10.0;;608;10000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lontano-lontano/
LOOP LOOP;Dedar;Премиум;52.0;;880;52000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/loop-loop/
LOREAK;Dedar;Премиум;50.0;;738;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/loreak/
LUCHINO;Dedar;Премиум;70.0;;897;70000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/luchino/
LUCILLO;Dedar;Премиум;20.0;;700;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lucillo/
LUDWIG 1992;Dedar;Премиум;25.0;;725;25000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/ludwig-1992/
LUPO;Dedar;Премиум;80.0;;820;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lupo/
LUTETIA;Dedar;Премиум;35.0;;964;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lutetia-fr/
LUTETIA FR;Dedar;Премиум;80.0;;964;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lutetia-fr/
MADEIRA;Dedar;Премиум;40.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/madeira/
MADRIGAL;Dedar;Премиум;40.0;;615;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/madrigal/
MAMMUTH;Dedar;Премиум;80.0;;1430;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/mammuth/
MARABOU;Dedar;Премиум;80.0;;770;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/marabou/
MAZARIN;Dedar;Премиум;32.0;;705;32000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/mazarin/
MÉLANGE MODERNE;Dedar;Премиум;80.0;;1056;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/melange-moderne/
METAMETODO;Dedar;Премиум;18.0;;563;8000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/metametodo/
MEZZALUNA;Dedar;Премиум;30.0;;830;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/mezzaluna/
MEZZALUNA MÉLANGE;Dedar;Премиум;21.0;;830;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/mezzaluna/
MICROGRAMMA;Dedar;Премиум;12.0;;220;12000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/microgramma/
MILLAIS;Dedar;Премиум;80.0;;852;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/millais/
MILLEMIGLIA;Dedar;Премиум;38.0;;529;38000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/millemiglia/
MINIMA MIRABILIA;Dedar;Премиум;55.0;;1516;48000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/minimal-moves/
MINIMAL MOVES;Dedar;Премиум;48.0;;1516;48000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/minimal-moves/
MONSIEUR BAUDELAIRE;Dedar;Премиум;100.0;;1132;100000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/monsieur-baudelaire/
MONTGOMERY;Dedar;Премиум;40.0;;986;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/montgomery/
MORE IS MORE;Dedar;Премиум;40.0;;890;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/more-is-more/
NENA;Dedar;Премиум;30.0;;1228;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/nena/
NENUFAR;Dedar;Премиум;15.0;;217;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/nenufar/
NIMBUS;Dedar;Премиум;40.0;;1040;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/nimbus/
NO EXCUSES;Dedar;Премиум;32.0;;624;6000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/magnolia/
NONSTOP ETHEREAL BLISS;Dedar;Премиум;20.0;;842;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/nonstop-ethereal-bliss/
NORICUM;Dedar;Премиум;15.0;;844;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/noricum/
NOUVELLES VAGUES;Dedar;Премиум;40.0;;765;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/nouvelles-vagues/
